From,To,Datetime,Duration(seconds),Cell Tower
349,23,20060601 0008,1634,1
379,364,20060601 0011,640,24
392,27,20060601 0012,1182,29
17,339,20060601 0014,578,23
272,251,20060601 0015,887,29
282,13,20060601 0015,1015,19
28,5,20060601 0045,1175,22
209,71,20060601 0054,1120,28
80,120,20060601 0058,588,11
171,95,20060601 0100,1036,27
25,160,20060601 0101,708,29
96,13,20060601 0102,1008,6
289,2,20060601 0109,1046,11
357,341,20060601 0110,1043,25
358,392,20060601 0113,899,30
399,90,20060601 0118,1008,24
51,56,20060601 0122,1469,26
184,5,20060601 0138,985,13
314,250,20060601 0146,1388,17
356,61,20060601 0147,1333,15
286,92,20060601 0149,1091,11
142,18,20060601 0200,1077,11
83,104,20060601 0203,920,30
81,162,20060601 0204,1110,10
76,71,20060601 0206,1441,29
386,179,20060601 0209,1097,28
219,4,20060601 0214,1096,10
194,291,20060601 0217,847,19
376,20,20060601 0219,1239,13
189,361,20060601 0227,1130,11
335,65,20060601 0233,891,10
392,27,20060601 0235,876,29
146,322,20060601 0242,1076,1
283,37,20060601 0247,497,28
130,14,20060601 0257,800,28
224,71,20060601 0302,449,24
318,229,20060601 0302,1126,11
328,142,20060601 0307,1213,30
386,179,20060601 0314,679,11
108,7,20060601 0333,1403,28
13,199,20060601 0339,879,13
164,38,20060601 0346,1355,30
47,167,20060601 0347,1194,28
45,4,20060601 0355,1314,27
39,23,20060601 0358,902,10
3,200,20060601 0359,1129,30
239,28,20060601 0359,1377,18
335,65,20060601 0405,947,10
337,18,20060601 0407,1213,28
87,255,20060601 0414,1206,11
84,307,20060601 0417,1117,11
180,5,20060601 0420,395,10
326,90,20060601 0421,845,18
94,362,20060601 0424,943,6
68,323,20060601 0426,710,28
269,240,20060601 0450,1087,6
293,51,20060601 0452,1274,22
6,254,20060601 0454,1264,29
281,1,20060601 0502,1116,28
383,5,20060601 0504,1212,10
247,103,20060601 0506,995,22
303,131,20060601 0506,797,26
314,5,20060601 0516,1247,17
0,1,20060601 0519,1835,7
365,91,20060601 0524,1124,21
111,42,20060601 0526,1201,29
209,71,20060601 0526,953,28
157,374,20060601 0541,909,1
107,1,20060601 0559,908,28
47,24,20060601 0603,905,28
202,158,20060601 0606,672,22
102,15,20060601 0609,659,13
347,205,20060601 0615,971,22
380,120,20060601 0616,1022,29
14,130,20060601 0621,712,18
7,253,20060601 0638,1205,29
75,30,20060601 0643,757,17
59,11,20060601 0654,898,11
89,353,20060601 0654,1275,11
291,204,20060601 0701,933,11
125,94,20060601 0709,1453,29
331,78,20060601 0712,1489,28
1,200,20060601 0721,1454,29
301,275,20060601 0730,1825,17
259,148,20060601 0732,779,30
233,42,20060601 0734,970,11
78,52,20060601 0738,677,16
23,92,20060601 0757,1304,11
296,227,20060601 0804,971,11
189,361,20060601 0805,1389,11
385,179,20060601 0808,896,6
35,72,20060601 0810,1122,15
267,387,20060601 0810,1048,30
272,215,20060601 0813,967,11
357,158,20060601 0813,979,25
230,93,20060601 0814,1744,28
307,51,20060601 0814,876,7
236,167,20060601 0815,1226,1
16,8,20060601 0816,1033,11
134,256,20060601 0816,497,27
335,14,20060601 0816,1732,10
283,131,20060601 0817,1468,28
77,5,20060601 0818,987,5
324,120,20060601 0818,809,22
164,55,20060601 0819,1216,30
358,30,20060601 0819,1011,30
88,53,20060601 0820,1405,29
124,9,20060601 0821,1491,1
171,95,20060601 0822,1063,27
194,291,20060601 0822,692,19
225,319,20060601 0823,965,30
377,117,20060601 0823,1584,28
380,120,20060601 0823,696,29
88,79,20060601 0825,1119,29
243,320,20060601 0825,933,1
38,182,20060601 0827,1585,1
157,61,20060601 0828,1186,1
323,68,20060601 0829,942,10
44,174,20060601 0833,1295,21
81,23,20060601 0834,1238,10
17,0,20060601 0835,1449,23
54,264,20060601 0836,1589,29
223,160,20060601 0836,955,30
202,221,20060601 0837,624,22
145,0,20060601 0838,850,29
42,233,20060601 0839,1493,13
188,70,20060601 0839,1284,29
75,30,20060601 0843,1146,17
377,117,20060601 0843,1321,8
111,42,20060601 0844,939,29
120,173,20060601 0844,1458,29
97,5,20060601 0845,937,22
239,247,20060601 0845,1442,18
205,19,20060601 0846,925,29
369,320,20060601 0846,853,22
144,23,20060601 0847,697,16
231,92,20060601 0848,678,28
102,15,20060601 0849,964,13
277,9,20060601 0849,1597,28
385,90,20060601 0849,1350,6
167,47,20060601 0853,1344,15
130,111,20060601 0854,405,28
240,95,20060601 0854,1093,30
266,389,20060601 0854,1090,11
379,317,20060601 0854,963,24
117,377,20060601 0855,675,28
307,51,20060601 0855,792,7
85,126,20060601 0857,416,30
55,164,20060601 0858,1141,20
97,5,20060601 0902,1662,22
288,2,20060601 0902,423,30
377,92,20060601 0902,516,28
382,17,20060601 0905,654,15
223,20,20060601 0906,873,30
371,1,20060601 0907,1288,22
380,363,20060601 0908,687,29
313,97,20060601 0910,1267,28
351,38,20060601 0911,1012,28
63,15,20060601 0912,1227,11
14,39,20060601 0913,790,18
191,120,20060601 0914,598,22
339,26,20060601 0914,1057,30
9,18,20060601 0915,1107,25
110,117,20060601 0915,1233,30
24,229,20060601 0917,1276,30
176,148,20060601 0917,1581,18
235,158,20060601 0917,1056,23
252,54,20060601 0917,745,29
325,120,20060601 0917,1310,18
384,189,20060601 0918,1195,29
323,68,20060601 0919,660,28
182,13,20060601 0920,1338,29
170,270,20060601 0921,1475,23
265,24,20060601 0921,1101,29
131,23,20060601 0923,1307,22
174,369,20060601 0923,1112,30
358,103,20060601 0923,1515,30
388,19,20060601 0923,1063,11
285,8,20060601 0924,1138,30
383,92,20060601 0924,707,10
385,179,20060601 0924,1329,6
231,267,20060601 0929,689,29
246,5,20060601 0929,984,17
18,249,20060601 0931,1026,20
240,95,20060601 0932,1207,30
108,13,20060601 0933,1171,28
211,97,20060601 0934,1441,15
167,290,20060601 0937,936,15
296,227,20060601 0937,1412,11
218,97,20060601 0938,1283,30
316,52,20060601 0938,1262,18
56,51,20060601 0940,1488,28
6,5,20060601 0942,1302,29
5,200,20060601 0944,1533,29
48,2,20060601 0945,1173,28
297,15,20060601 0945,1312,22
285,77,20060601 0946,1472,30
121,21,20060601 0947,918,28
245,1,20060601 0947,1469,22
373,41,20060601 0947,1323,29
285,8,20060601 0950,887,30
103,137,20060601 0954,1187,18
22,26,20060601 0958,1109,24
110,148,20060601 0959,998,30
1,2,20060601 1000,897,29
1,3,20060601 1000,915,29
1,5,20060601 1000,1283,29
217,192,20060601 1000,988,6
373,61,20060601 1000,1561,29
123,30,20060601 1001,1571,25
114,87,20060601 1002,648,1
168,2,20060601 1003,1058,24
301,275,20060601 1003,207,17
329,152,20060601 1003,1081,11
304,4,20060601 1006,763,11
177,75,20060601 1008,1430,22
291,204,20060601 1009,711,28
243,146,20060601 1010,948,1
269,240,20060601 1010,1316,11
311,1,20060601 1010,1716,25
26,49,20060601 1011,1145,11
303,13,20060601 1013,1073,26
135,12,20060601 1014,1540,28
211,15,20060601 1014,415,15
328,3,20060601 1014,632,30
245,195,20060601 1015,703,22
116,16,20060601 1017,1383,30
351,38,20060601 1017,777,28
41,136,20060601 1019,1123,11
50,68,20060601 1019,1127,11
116,16,20060601 1019,1088,30
63,1,20060601 1021,1189,11
237,206,20060601 1021,579,20
363,134,20060601 1022,885,29
120,140,20060601 1023,1061,28
111,41,20060601 1024,1655,29
26,147,20060601 1028,1368,11
366,5,20060601 1028,577,7
170,190,20060601 1033,863,23
11,20,20060601 1034,1670,30
15,80,20060601 1034,988,7
96,23,20060601 1034,1059,5
251,9,20060601 1034,613,28
328,3,20060601 1034,1575,30
302,334,20060601 1037,1014,11
366,5,20060601 1037,1341,7
200,1,20060601 1040,270,29
294,30,20060601 1040,1167,22
26,49,20060601 1042,1275,11
307,51,20060601 1042,1045,7
25,14,20060601 1044,1186,29
63,15,20060601 1044,817,11
43,14,20060601 1047,720,15
275,251,20060601 1047,770,30
76,71,20060601 1048,1429,29
228,92,20060601 1048,1245,13
256,1,20060601 1048,1057,20
328,142,20060601 1048,753,30
142,18,20060601 1050,1003,11
310,61,20060601 1051,846,22
78,24,20060601 1052,1190,16
52,316,20060601 1053,835,18
174,221,20060601 1053,1687,30
329,152,20060601 1053,971,28
97,5,20060601 1059,729,22
114,5,20060601 1059,1305,1
136,60,20060601 1100,1211,10
197,368,20060601 1100,1021,29
103,274,20060601 1101,1394,18
333,41,20060601 1101,1483,8
31,5,20060601 1104,1468,30
47,231,20060601 1104,700,28
51,275,20060601 1104,1330,26
77,5,20060601 1104,1721,11
15,72,20060601 1105,837,7
137,103,20060601 1105,933,11
189,90,20060601 1105,1317,29
242,46,20060601 1106,1227,11
246,5,20060601 1106,869,17
248,336,20060601 1106,1345,16
371,60,20060601 1106,1086,22
11,59,20060601 1107,1024,30
72,15,20060601 1107,788,17
259,148,20060601 1108,583,21
288,2,20060601 1108,1260,30
126,85,20060601 1109,1012,8
53,233,20060601 1114,1483,28
54,252,20060601 1114,356,29
63,15,20060601 1115,1178,11
88,53,20060601 1117,1575,29
120,191,20060601 1117,1232,28
107,1,20060601 1118,897,28
242,46,20060601 1119,1275,11
19,40,20060601 1123,934,30
120,80,20060601 1123,1270,29
38,164,20060601 1124,1413,1
282,13,20060601 1125,1220,8
54,264,20060601 1127,1107,19
124,2,20060601 1127,780,1
63,1,20060601 1129,707,29
93,62,20060601 1131,1320,29
160,6,20060601 1133,1307,22
82,71,20060601 1134,677,15
92,20,20060601 1134,881,30
353,154,20060601 1134,768,28
342,158,20060601 1135,1440,29
124,2,20060601 1137,961,1
283,37,20060601 1138,305,28
198,279,20060601 1139,1038,6
267,387,20060601 1139,992,30
107,5,20060601 1140,934,28
311,1,20060601 1140,1098,25
327,112,20060601 1141,782,25
175,395,20060601 1142,698,30
329,152,20060601 1142,1281,11
26,339,20060601 1144,379,11
219,4,20060601 1146,1770,1
230,8,20060601 1146,1222,28
363,134,20060601 1146,681,29
241,80,20060601 1147,940,29
334,1,20060601 1149,1451,11
395,175,20060601 1149,980,11
293,51,20060601 1150,638,22
246,16,20060601 1151,1060,17
192,151,20060601 1152,1045,29
103,82,20060601 1154,1471,18
110,83,20060601 1154,883,30
316,5,20060601 1154,1176,18
340,0,20060601 1155,1106,11
213,287,20060601 1156,866,25
116,1,20060601 1157,1401,30
236,13,20060601 1157,1196,1
280,41,20060601 1202,1406,29
229,264,20060601 1203,932,15
374,157,20060601 1203,1053,13
236,167,20060601 1205,586,1
323,367,20060601 1206,765,28
126,42,20060601 1207,1567,8
132,258,20060601 1207,1196,22
342,1,20060601 1207,903,29
153,1,20060601 1208,1364,10
124,2,20060601 1209,1650,1
163,56,20060601 1209,1170,22
24,78,20060601 1210,870,30
320,369,20060601 1210,1646,28
233,53,20060601 1211,1018,11
297,15,20060601 1211,1545,22
272,251,20060601 1213,1234,11
348,163,20060601 1217,1162,20
173,40,20060601 1218,568,29
48,154,20060601 1221,1250,28
283,131,20060601 1222,865,11
316,5,20060601 1224,1001,18
256,1,20060601 1226,1142,20
317,30,20060601 1226,1153,30
172,297,20060601 1228,649,29
191,120,20060601 1228,917,22
128,14,20060601 1230,757,11
12,46,20060601 1232,1538,11
102,305,20060601 1232,644,13
198,66,20060601 1235,911,6
357,158,20060601 1235,1449,25
188,29,20060601 1236,1301,29
321,138,20060601 1236,1205,16
370,49,20060601 1236,1074,1
100,23,20060601 1238,147,30
221,202,20060601 1241,645,20
81,23,20060601 1243,1336,10
176,148,20060601 1243,999,18
221,174,20060601 1243,979,20
338,158,20060601 1243,686,15
351,44,20060601 1243,907,28
56,51,20060601 1244,1398,22
72,35,20060601 1244,1382,17
230,93,20060601 1247,1657,28
364,260,20060601 1247,443,24
50,34,20060601 1250,1179,11
205,347,20060601 1250,246,28
284,260,20060601 1251,894,22
123,19,20060601 1254,1160,25
277,9,20060601 1254,881,28
273,0,20060601 1255,1162,29
133,21,20060601 1256,778,13
336,6,20060601 1257,743,30
341,0,20060601 1300,1038,20
12,135,20060601 1301,1019,29
237,1,20060601 1301,859,20
373,61,20060601 1301,1118,11
380,120,20060601 1301,1890,29
223,160,20060601 1306,783,30
2,200,20060601 1307,913,29
34,325,20060601 1307,1364,15
152,69,20060601 1307,1364,29
0,175,20060601 1308,1457,7
